978,5673083,secondary,141,382,-73.9557686,40.7879101,-73.9541598,40.7872313
979,5673083,secondary,382,385,-73.9541598,40.7872313,-73.9526675,40.7866018
980,5673083,secondary,385,387,-73.9526675,40.7866018,-73.9524117,40.7864938
981,5673083,secondary,387,388,-73.9524117,40.7864938,-73.9509262,40.7858671
986,5673089,secondary,160,235,-73.996351,40.732255,-73.9923997,40.7306011
989,5673114,secondary,389,390,-73.9778045,40.7717877,-73.978728,40.772417
999,5673231,secondary,393,352,-73.983621,40.749724,-73.982024,40.74905
1004,5673296,secondary,395,203,-73.9311553,40.8687924,-73.9284202,40.8656391
1019,5673363,secondary,22,311,-73.9578682,40.8005212,-73.9584918,40.8006694
1030,5673363,secondary,311,355,-73.9584918,40.8006694,-73.9583399,40.8003728
1037,5673370,secondary,396,398,-73.940048,40.8344923,-73.9401964,40.8353595
1039,5673380,secondary,399,364,-73.9862811,40.7401561,-73.9817806,40.7464024
1043,5673380,secondary,364,401,-73.9817806,40.7464024,-73.9812613,40.7470478
1055,5673422,secondary,106,32,-73.928266,40.8568009,-73.9249412,40.8612462
1064,5673456,secondary,208,402,-73.9637494,40.7770004,-73.9621508,40.7763235
1065,5673456,secondary,402,404,-73.9621508,40.7763235,-73.9606194,40.775675
1066,5673456,secondary,404,406,-73.9606194,40.775675,-73.9603796,40.7755735
1067,5673456,secondary,406,409,-73.9603796,40.7755735,-73.9588917,40.7749718
1068,5673456,secondary,409,411,-73.9588917,40.7749718,-73.9573098,40.7742971
1069,5673456,secondary,411,415,-73.9573098,40.7742971,-73.955044,40.7733383
1070,5673456,secondary,415,416,-73.955044,40.7733383,-73.9526771,40.7723457
1074,5673497,secondary,128,420,-73.977201,40.758538,-73.975591,40.75786
1077,5673508,secondary,218,233,-73.9759847,40.7955204,-73.9737244,40.7945858
1079,5673508,secondary,233,421,-73.9737244,40.7945858,-73.9724164,40.794038
1081,5673530,secondary,75,423,-74.0101303,40.7120904,-74.0086338,40.7113899
1083,5673624,primary,425,426,-73.975394,40.745442,-73.977327,40.7453923
1129,8119481,secondary,210,428,-73.9447121,40.8410394,-73.9430547,40.8487315
1133,8119562,secondary,429,430,-73.9411301,40.8490251,-73.9391904,40.8486855
1136,8119596,secondary,51,431,-73.9419631,40.8517114,-73.9413134,40.8513259
1137,8119596,secondary,431,432,-73.9413134,40.8513259,-73.9412279,40.8513207
1186,19726366,secondary,247,378,-73.9978264,40.7089526,-73.9992643,40.7087705
1203,22898583,secondary,441,186,-73.942262,40.806416,-73.949054,40.7971081
1205,22898583,secondary,186,82,-73.949054,40.7971081,-73.9494264,40.7965966
1210,22902608,secondary,86,197,-73.9864091,40.740211,-73.9907171,40.7347938
1215,22903913,trunk,322,365,-74.0076496,40.7481843,-74.0082754,40.7502561
1235,22904150,secondary,213,445,-74.003806,40.7532728,-74.0065691,40.7495415
1237,22904166,secondary,365,448,-74.0082754,40.7502561,-74.0084826,40.7503864
